time,location,temperature_2m (°C),relative_humidity_2m (%),heat_index (°C),hour,heat_index,destination,city,latitude,longitude
2025-11-15T13:00:00,,31.0,63.0,,13,35.6165008484444,"Smart Araneta Coliseum, General Roxas Avenue, Cubao, Quezon City, Metro Manila, Philippines",Quezon City,14.65,121.05
2025-11-15T14:00:00,,30.9,60.0,,14,34.63461998783789,"Smart Araneta Coliseum, General Roxas Avenue, Cubao, Quezon City, Metro Manila, Philippines",Quezon City,14.65,121.05
2025-11-15T15:00:00,,30.7,60.0,,15,34.21899485351784,"Smart Araneta Coliseum, General Roxas Avenue, Cubao, Quezon City, Metro Manila, Philippines",Quezon City,14.65,121.05
2025-11-15T16:00:00,,30.2,63.0,,16,33.86477731500452,"Smart Araneta Coliseum, General Roxas Avenue, Cubao, Quezon City, Metro Manila, Philippines",Quezon City,14.65,121.05
2025-11-15T17:00:00,,29.3,66.0,,17,32.61457610285113,"Smart Araneta Coliseum, General Roxas Avenue, Cubao, Quezon City, Metro Manila, Philippines",Quezon City,14.65,121.05
2025-11-15T18:00:00,,28.5,71.0,,18,31.8254669437778,"Smart Araneta Coliseum, General Roxas Avenue, Cubao, Quezon City, Metro Manila, Philippines",Quezon City,14.65,121.05
2025-11-15T19:00:00,,27.6,80.0,,19,31.121516145937942,"Smart Araneta Coliseum, General Roxas Avenue, Cubao, Quezon City, Metro Manila, Philippines",Quezon City,14.65,121.05
2025-11-15T20:00:00,,26.9,83.0,,20,29.7888413441511,"Smart Araneta Coliseum, General Roxas Avenue, Cubao, Quezon City, Metro Manila, Philippines",Quezon City,14.65,121.05
2025-11-15T21:00:00,,26.5,84.0,,21,28.932269870611226,"Smart Araneta Coliseum, General Roxas Avenue, Cubao, Quezon City, Metro Manila, Philippines",Quezon City,14.65,121.05
2025-11-15T22:00:00,,26.4,84.0,,22,28.702627881031106,"Smart Araneta Coliseum, General Roxas Avenue, Cubao, Quezon City, Metro Manila, Philippines",Quezon City,14.65,121.05
2025-11-15T23:00:00,,26.3,83.0,,23,28.420838497271184,"Smart Araneta Coliseum, General Roxas Avenue, Cubao, Quezon City, Metro Manila, Philippines",Quezon City,14.65,121.05
2025-11-15T00:00:00,,26.1,88.0,,0,28.205655600495746,"Valenzuela City People's Park, MacArthur Highway, Valenzuela, Metro Manila, Philippines",Valenzuela,14.6921634,120.9701195
2025-11-15T01:00:00,,25.7,90.0,,1,27.29046513858456,"Valenzuela City People's Park, MacArthur Highway, Valenzuela, Metro Manila, Philippines",Valenzuela,14.6921634,120.9701195
2025-11-15T02:00:00,,25.9,87.0,,2,27.692639117697848,"Valenzuela City People's Park, MacArthur Highway, Valenzuela, Metro Manila, Philippines",Valenzuela,14.6921634,120.9701195
2025-11-15T03:00:00,,25.9,87.0,,3,27.692639117697848,"Valenzuela City People's Park, MacArthur Highway, Valenzuela, Metro Manila, Philippines",Valenzuela,14.6921634,120.9701195
